Entity,Code,Year,Prevalence of current tobacco use (% of adults),Continent,Prevalence of current tobacco use (% of adults),Year
Abkhazia,OWID_ABK,2015,,Asia,,
Afghanistan,AFG,2000,36.9,,23.8,2018
Afghanistan,AFG,2005,32.7,,23.8,2018
Afghanistan,AFG,2010,29.1,,23.8,2018
Afghanistan,AFG,2015,26,Asia,23.8,2018
Afghanistan,AFG,2018,23.8,,23.8,2018
Afghanistan,AFG,2019,23.8,,23.8,2018
Afghanistan,AFG,2020,23.3,,23.8,2018
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia,,
Aland Islands,ALA,2015,,Europe,,
Albania,ALB,2000,35,,23,2018
Albania,ALB,2005,31.3,,23,2018
Albania,ALB,2010,28,,23,2018
Albania,ALB,2015,25.1,Europe,23,2018
Albania,ALB,2018,23,,23,2018
Albania,ALB,2019,23,,23,2018
Albania,ALB,2020,22.4,,23,2018
Algeria,DZA,2000,22.2,,21,2018
Algeria,DZA,2005,21.8,,21,2018
Algeria,DZA,2010,21.5,,21,2018
Algeria,DZA,2015,21.1,Africa,21,2018
Algeria,DZA,2018,21,,21,2018
Algeria,DZA,2019,21,,21,2018
Algeria,DZA,2020,21,,21,2018
American Samoa,ASM,2015,,Oceania,,
Andorra,AND,2000,35.9,,32,2018
Andorra,AND,2005,34.8,,32,2018
Andorra,AND,2010,34,,32,2018
Andorra,AND,2015,33,Europe,32,2018
Andorra,AND,2018,32,,32,2018
Andorra,AND,2019,32,,32,2018
Andorra,AND,2020,31.8,,32,2018
Angola,AGO,2015,,Africa,,
Anguilla,AIA,2015,,North America,,
Antarctica,ATA,2015,,Antarctica,,
Antigua and Barbuda,ATG,2015,,North America,,
Argentina,ARG,2000,34,,24.9,2018
Argentina,ARG,2005,31.5,,24.9,2018
Argentina,ARG,2010,28.9,,24.9,2018
Argentina,ARG,2015,26.6,South America,24.9,2018
Argentina,ARG,2018,24.9,,24.9,2018
Argentina,ARG,2019,24.9,,24.9,2018
Argentina,ARG,2020,24.5,,24.9,2018
Armenia,ARM,2000,32,,25.8,2018
Armenia,ARM,2005,30.3,,25.8,2018
Armenia,ARM,2010,28.6,,25.8,2018
Armenia,ARM,2015,26.9,Asia,25.8,2018
Armenia,ARM,2018,25.8,,25.8,2018
Armenia,ARM,2019,25.8,,25.8,2018
Armenia,ARM,2020,25.5,,25.8,2018
Aruba,ABW,2015,,North America,,
Australia,AUS,2000,24.4,,14,2018
Australia,AUS,2005,21.1,,14,2018
Australia,AUS,2010,18.2,,14,2018
Australia,AUS,2015,15.7,Oceania,14,2018
Australia,AUS,2018,14,,14,2018
Australia,AUS,2019,14,,14,2018
Australia,AUS,2020,13.6,,14,2018
Austria,AUT,2000,52.3,,27.1,2018
Austria,AUT,2005,43.8,,27.1,2018
Austria,AUT,2010,37.1,,27.1,2018
Austria,AUT,2015,31.2,Europe,27.1,2018
Austria,AUT,2018,27.1,,27.1,2018
Austria,AUT,2019,27.1,,27.1,2018
Austria,AUT,2020,26.4,,27.1,2018
Austria-Hungary,OWID_AUH,2015,,Europe,,
Azerbaijan,AZE,2000,28.7,,24.2,2018
Azerbaijan,AZE,2005,27.6,,24.2,2018
Azerbaijan,AZE,2010,26.2,,24.2,2018
Azerbaijan,AZE,2015,25.2,Asia,24.2,2018
Azerbaijan,AZE,2018,24.2,,24.2,2018
Azerbaijan,AZE,2019,24.2,,24.2,2018
Azerbaijan,AZE,2020,24,,24.2,2018
Baden,OWID_BAD,2015,,Europe,,
Bahamas,BHS,2000,10.7,,10.7,2018
Bahamas,BHS,2005,10.7,,10.7,2018
Bahamas,BHS,2010,10.7,,10.7,2018
Bahamas,BHS,2015,10.6,North America,10.7,2018
Bahamas,BHS,2018,10.7,,10.7,2018
Bahamas,BHS,2019,10.7,,10.7,2018
Bahamas,BHS,2020,10.6,,10.7,2018
Bahrain,BHR,2000,22.2,,15.2,2018
